,,,,"Вибери рівень подібності та перебудуй кластери натиснувши ""Кластерізація"" ","0,25","Поріг: 0.25 | 21.05.2026, 12:56:29",,,,,,,,,,,,,,,,,,,,,,,
,,Швейцарія | Eurotrips | EUR-39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Вікенд на трьох!  Краків, Відень, Будапешт | Accord tour | ACC-22",,,,,,КЛАСТЕР (ВИБІРКА СХОЖИХ МІЖ СОБОЮ ТУРІВ),,,ПО НАПРЯМКУ,,,,,,,,,,,,,,,,,,
ПОЗИЦІЯ,ТУРОПЕРАТОР,НАЗВА ТУРУ,ID ТУРУ,ОСНОВНИЙ НАПРЯМОК,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ПОЗИЦІЯ ЗА ЦІНОЮ,МІНІМАЛЬНА ЦІНА,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,СЕРЕДНЯ ЦІНА,МЕДІАННА ЦІНА,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЦІНА ЗА ДЕНЬ,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,ПОДІБНІСТЬ,МАРШРУТ
9,Tango Travel,Мої швейцарські вихідні,TAN-41,Швейцарія,екскурсійний,Стандарт 150 - 300,€189,2,€188,€1,€333,€334,-€144,-€145,"-43,33%",2,€1,€38,5,2,1,2,9,6,"ЛИПЕНЬ, СЕРПЕНЬ, ЖОВТЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Будапешт → Верона → Берн → Люцерн → Цюріх
10,Accord tour,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,ACC-23,Швейцарія,екскурсійний,Люкс 300 - 400,€369,18,€188,€181,€333,€334,€36,€36,"10,64%",19,€181,€53,7,0,5,6,91,9,"СЕРПЕНЬ, ЖОВТЕНЬ, ЧЕРВЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Відень → Ліхтенштейн → Цюріх → Рейнский водоспад → Люцерн → Женева → Монблан → Берн → Інтерлакен → Зальцбург → Долина Зальцкаммергут → Будапешт → Егер
11,Accord tour,"Мелодії Альп... Швейцарія, Баварія, Австрія +Майнау –острів весняних мрій...",ACC-78,Швейцарія,екскурсійний,Стандарт 150 - 300,€270,7,€188,€82,€333,€334,-€64,-€64,"-19,19%",8,€82,€54,5,0,4,4,70,9,"ЛИПЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Мюнхен → Замок Нойшванштайн → Цюрих → Люцерн → Інтерлакен → Рейнський водоспад → Зальцбург → Зальцкаммергут → Відень
12,Accord tour,"Мелодії Альп...  Швейцарія, Баварія, Австрія...",ACC-89,Швейцарія,екскурсійний,Стандарт 150 - 300,€270,8,€188,€82,€333,€334,-€64,-€64,"-19,19%",8,€82,€54,5,0,4,4,70,9,"ЛИПЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Мюнхен → Замок Нойшванштайн → Цюрих → Люцерн → Інтерлакен → Рейнський водоспад → Зальцбург → Зальцкаммергут → Відень
13,Accord tour,Вихідні в Ельзасі + Швейцарія,ACC-94,Швейцарія,екскурсійний,Стандарт 150 - 300,€278,9,€188,€90,€333,€334,-€55,-€56,"-16,64%",10,€90,€56,5,0,3,4,63,9,"ТРАВЕНЬ, СЕРПЕНЬ, ЖОВТЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Прага → Нюрнберг → Бамберг → Страсбург → Кольмар → Цюрих → Люцерн → Інтерлакен → Рейнський водоспад → Прага
14,Adriatic,"Швейцарія для тебе... Гріндельвальд, Швейцарська Рів'єра, гора Пілатус + гора Монблан!  ",ADR-33,Швейцарія,екскурсійний,Люкс 300 - 400,€319,13,€188,€131,€333,€334,-€14,-€15,"-4,35%",14,€131,€53,6,0,6,5,34,8,"ТРАВЕНЬ, СЕРПЕНЬ, ЖОВТЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Зальцбург → Зальцкаммергут → Люцерн → Женева → Цюрих → Аннесі → Берн → Інтерлакен → Ґріндельвальд → Прага
15,Accord tour,"Швейцарський вікенд + Баварія Цюріх, Люцерн + Мюнхен та Відень",ACC-67,Швейцарія,екскурсійний,Стандарт 150 - 300,€188,1,€188,,€333,€334,-€145,-€146,"-43,63%",1,€0,€47,4,2,3,1,13,6,"ТРАВЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Будапешт → Мюнхен → Цюрих → Люцерн → Берн → Бернский оберланд → Відень
16,Adriatic,Прекрасні дні в Швейцарії!  ,ADR-96,Швейцарія,екскурсійний,Стандарт 150 - 300,€230,3,€188,€42,€333,€334,-€103,-€104,"-31,03%",3,€42,€46,5,2,3,2,35,9,"ТРАВЕНЬ, ЧЕРВЕНЬ, ВЕРЕСЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Будапешт → Відень → Вадуц → Цюрих → Інтерлакен → Люцерн → Егер
17,Accord tour,"В гостях у Швейцарії   Цюрих, Женева, Берн + Монблан",ACC-25,Швейцарія,екскурсійний,Тяжкий Люкс 400 +,€433,24,€188,€245,€333,€334,€99,€99,"29,69%",26,€245,€54,8,0,8,7,7,6,"ТРАВЕНЬ, КВІТЕНЬ, ЧЕРВЕНЬ",ТРАВЕНЬ,ПІВРІЧНИЙ,"0,002",Краків → Прага → Нойшванштайн → Цюрих → Люцерн → Шамбері → Женева → Монблан → Берн → Інтерлакен → Зальцбург → Зальцкаммергут → Брно
18,Accord tour,"Швейцарська інтрига  Австрія, Італія та Доломітові Альпи",ACC-109,Швейцарія,екскурсійний,Люкс 300 - 400,€341,15,€188,€153,€333,€334,€7,€7,"2,10%",16,€153,€57,6,0,5,5,61,9,"СЕРПЕНЬ, ЛИПЕНЬ, ЖОВТЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,002",Краків → Зальцбург → Гальштат → Берн → Бернский оберланд → Цюріх → Люцерн → Доломитові Альпи → Грац
19,Adriatic,Неймовірна Швейцарія та Ельзас!  ,ADR-4,Швейцарія,екскурсійний,Люкс 300 - 400,€284,10,€188,€96,€333,€334,-€50,-€50,"-14,99%",11,€96,€57,5,0,4,4,43,9,"ГРУДЕНЬ, ТРАВЕНЬ, ЛИПЕНЬ",ГРУДЕНЬ,ЦІЛИЙ РІК,"0,002",Краків → Зальцбург → Зальцкаммергут → Вадуц → Люцерн → Інтерлакен → Цюрих → Кольмар → Страсбург → Прага
20,Accord tour,Швейцарське фондю: вся Швейцарія і Австрія!!!,ACC-125,Швейцарія,екскурсійний,Тяжкий Люкс 400 +,€511,26,€188,€323,€333,€334,€177,€177,"53,07%",29,€323,€51,10,0,9,9,27,9,"ГРУДЕНЬ, ЧЕРВЕНЬ, СЕРПЕНЬ",ГРУДЕНЬ,ЦІЛИЙ РІК,"0,002",Краків → Зальцбург → Долина Зальцкаммергут → Ліхтейнштейн → Цюріх → Люцерн → Берн → Інтерлакен → Женева → Грюйєр → Швейцарська Рів'єра → Беллінцона → Гребля Верзаска → Озеро Комо → Лугано → Клагенфурт → Брно
21,Adriatic,Вікенд в Швейцарію + Зальцбург та Прага! ,ADR-34,Швейцарія,екскурсійний,Стандарт 150 - 300,€254,5,€188,€66,€333,€334,-€79,-€80,"-23,84%",5,€66,€64,4,0,3,3,34,8,"ТРАВЕНЬ, ЛИПЕНЬ, ЖОВТЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,002",Краків → Зальцбург → Зальцкаммергут → Цюрих → Люцерн → Прага
22,Adriatic,Альпійські чари! Швейцарія + Італія + Австрія…  ,ADR-108,Швейцарія,екскурсійний,Люкс 300 - 400,€362,17,€188,€174,€333,€334,€29,€29,"8,55%",18,€174,€60,6,0,4,5,35,9,"ЧЕРВЕНЬ, СЕРПЕНЬ, ЛИСТОПАД",ЧЕРВЕНЬ,ЦІЛИЙ РІК,"0,001",Краків → Зальцбург → Зальцкаммергут → Вадуц → Цюрих → Люцерн → Мілан → Верона → Інсбрук → Відень
23,Adriatic,Вище хмар - Швейцарія..,ADR-113,Швейцарія,екскурсійний,Тяжкий Люкс 400 +,€489,25,€188,€301,€333,€334,€156,€156,"46,63%",28,€301,€61,8,0,5,7,33,8,"СЕРПЕНЬ, ЛИСТОПАД, ТРАВЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,001",Краків → Нюрнберг → Ротенбург → На → Таубері → Цюрих → Берн → Люцерн → Вадуц → Інсбрук → Брно
24,Adriatic,Ідеальна формула Швейцарії: Пілатус + Матергорн + Сан-Бернардіно та Монблан!  ,ADR-95,Швейцарія,екскурсійний,Тяжкий Люкс 400 +,€426,23,€188,€238,€333,€334,€92,€92,"27,59%",25,€238,€61,7,0,7,6,35,9,"ТРАВЕНЬ, СЕРПЕНЬ, ЛИСТОПАД",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,001",Будапешт → Відень → Санкт → Вольфганг → Ім → Зальцкаммергут → Люцерн → Грюєр → Монтре → Аннесі → Лугано → Вадуц → Інсбрук
25,Adriatic,"Чудеса Швейцарії: Гріндельвальд, Бріенц, Цюрих, Люцерн, Верзаска та Лугано  ",ADR-103,Швейцарія,екскурсійний,Люкс 300 - 400,€343,16,€188,€155,€333,€334,€9,€9,"2,70%",17,€155,€57,6,0,5,5,33,8,"СЕРПЕНЬ, ЛИСТОПАД, ТРАВЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,001",Краків → Мюнхен → Люцерн → Ґріндельвальд → Брієнц → Цюрих → Брно
26,Adriatic,"Якщо на землі є рай, то це Швейцарія  ",ADR-109,Швейцарія,екскурсійний,Стандарт 150 - 300,€258,6,€188,€70,€333,€334,-€75,-€76,"-22,64%",6,€70,€52,5,1,4,3,35,9,"ЛИПЕНЬ, ВЕРЕСЕНЬ, ТРАВЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,001",Краків → Зальцбург → Зальцкаммергут → Цюрих → Люцерн → Мюнхен → Брно → Бохня
