ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,ВСІ НАПРЯМКИ,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,СЕЗОННІСТЬ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ЗУПИНОК ПО СИГНАТУРІ МАРШРУТУ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,УНІКАЛЬНІ ЗУПИНКИ,УНІКАЛЬНІ МІСТА,УНІКАЛЬНІ КРАЇНИ,СКЛАДНІСТЬ МАРШРУТУ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК
ACC-138,"Казки Балтійського моря  Стокгольм, Рига, Таллінн",COMPETITOR,Accord tour,Естонія,Естонія,екскурсійний,Стандарт 150 - 300,"281,5",5,0,2,4,0,0,0,2,4,3,5,4,2,4,2,2,28,9,"ЛИПЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,6,4,6,0,1,1,1,"0,1","0,20","0,20",0
ACC-139,Спокій Адріатики  Відпочинок на морі в Чорногорії,COMPETITOR,Accord tour,Чорногорія,Чорногорія,морський,Стандарт 150 - 300,"288,5",10,2,1,7,0,0,0,,2,4,5,4,4,5,,,24,6,"ЛИПЕНЬ, ЖОВТЕНЬ, ЧЕРВЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,FALSE,11,3,5,2,1,1,1,"0,1","0,10","0,10","0,1818181818"
ACC-140,Курортний Роман  Відпочинок на морі Іспанії  Швейцарія + Іспанія + Франція,COMPETITOR,Accord tour,Іспанія,Іспанія,морський,Тяжкий Люкс 400 +,759,14,0,8,13,0,0,0,1,5,4,4,5,4,4,,0,27,7,"ТРАВЕНЬ, СЕРПЕНЬ, ЧЕРВЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,TRUE,30,10,14,0,1,1,1,"0,1","0,07","0,07",0
ACC-141,Серенада південного сонця  Іспанія + Швейцарія   Відпочинок на морі,COMPETITOR,Accord tour,Іспанія,Іспанія,морський,Тяжкий Люкс 400 +,"853,5",14,0,9,13,0,0,0,,1,2,4,4,5,,,,16,5,"ВЕРЕСЕНЬ, ЛИПЕНЬ, СЕРПЕНЬ",ВЕРЕСЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,TRUE,18,9,13,0,1,1,1,"0,1","0,07","0,07",0
ACC-142,"«Релакс» по-італійськи: Амальфітанське узбережжя + Рим, Флоренція і Венеція!",COMPETITOR,Accord tour,Італія,Італія,морський,Тяжкий Люкс 400 +,"573,5",10,0,4,9,0,0,0,2,6,6,6,5,6,5,,,36,7,"ТРАВЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,18,5,10,0,1,1,1,"0,1","0,10","0,10",0
ACC-143,Вікенд у Будапешт! + Відень!,COMPETITOR,Accord tour,Угорщина,Угорщина,екскурсійний,До 99,89,4,2,0,1,0,0,0,2,6,5,4,3,3,5,4,7,39,9,"ГРУДЕНЬ, ТРАВЕНЬ, ЧЕРВЕНЬ",ГРУДЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,5,2,3,0,1,1,1,"0,1","0,25","0,25",0
ACC-144,"Жага пригод  Амстердам, Париж + Діснейленд",COMPETITOR,Accord tour,Нідерланди,Нідерланди,екскурсійний,Люкс 300 - 400,311,7,2,5,4,0,0,0,3,6,9,7,9,10,6,6,10,66,9,"ВЕРЕСЕНЬ, ГРУДЕНЬ, ЧЕРВЕНЬ",ВЕРЕСЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,13,5,8,0,1,1,1,"0,1","0,14","0,14",0
ACC-145,Мої зимові пригоди в Італії: відпочинок в Доломітових Альпах,COMPETITOR,Accord tour,Італія,Італія,екскурсійний,Люкс 300 - 400,375,7,0,1,6,0,0,0,,,,,,,,7,11,18,2,"ГРУДЕНЬ, ЛИСТОПАД",ГРУДЕНЬ,ЦІЛИЙ РІК,❄️ ЗИМА,TRUE,11,4,5,1,1,1,1,"0,1","0,14","0,14","0,09090909091"
ACC-146,Східний хіт - Істанбул!,COMPETITOR,Accord tour,Молдова,Молдова,екскурсійний,Стандарт 150 - 300,262,7,2,0,4,0,0,0,,2,3,2,2,3,1,2,1,16,8,"ЧЕРВЕНЬ, ВЕРЕСЕНЬ, ТРАВЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,1,1,1,0,1,1,1,"0,1","0,14","0,14",0
ACC-147,Шалене серце або дорога до улюблених місць...,COMPETITOR,Accord tour,Болгарія,"Болгарія, Північна Македонія, Сербія",екскурсійний,Люкс 300 - 400,"345,5",6,0,4,5,0,0,0,1,2,2,2,2,2,3,2,3,19,9,"ЖОВТЕНЬ, ГРУДЕНЬ, ТРАВЕНЬ",ЖОВТЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,7,3,3,0,1,1,1,"0,1","0,17","0,17",0
