URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://tangotravel.com.ua/tur/nezvidanyi-krai-bosniia-i-hertsehovyna/?dateid=6291,"Автобусний тур Боснія і Герцеговина - Сараєво, Мостар зі Львова | TangoTravel",,5,Найближчий виїзд: 20.05.2026,проїзд автобусом єврокласу;; проживання у готелях 3*;; харчування - сніданки в готелях;; супровід керівника групи;; багаж - валіза та ручна поклажа; оглядові екскурсії згідно програми туру;; страхування (групове);,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; аудіогід; курортний збір в готелях від 1 до 3 євро (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Кава по-боснійському""",,,,,✅ done,"14.05.2026, 17:22:42"
,,,,,,,,,,,,
https://tangotravel.com.ua/tur/albaniia-morska-pryhoda/?dateid=6856,Тур Албанія - морська пригода на 8 днів від 348€ зі Львова| TangoTravel,,8,Найближчий виїзд: 31.05.2026,проїзд автобусом єврокласу;; проживання у готелях. Базовий готель на курорті Вльора - Hotel Vlora International ****; харчування - сніданки;; багаж - валіза та ручна поклажа; супровід керівника групи;; страхування;,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; курортний збір в готелях від 1 до 3 євро (оплата на місці);; при груповому бронюванні (акція ""9+1"") - обов язкова оплата оглядової екскурсії в Охриді та на каньйон Матка",,,,,✅ done,"14.05.2026, 17:22:46"
https://tangotravel.com.ua/tur/sloveniya---alpijski-termali/?dateid=6222,Тур Словенія - альпійські термали,,,,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії за програмою; супровід керівника групи; страхування до 66 р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях - від 1 до 3 &euro; (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Любляні",,,,,✅ done,"14.05.2026, 17:22:49"
https://tangotravel.com.ua/tur/lytovski-vykhidni-vilnyus-trakay-druskininkay/?dateid=6262,,,,,,,,,,,⚠️ error: не завантажено,
https://tangotravel.com.ua/tur/zirky-pivnochi-ryga-ta-norvezski-fiordy/?dateid=6854,Тур Зірки півночі: Стокгольм та Норвезькі фіорди!,,6,,"проїзд автобусом єврокласу; проїзд на паромі Таллінн-Стокгольм, Карлскруна-Гдиня у 4-місній каюті (без вікна; душ та туалет в каюті); проживання у готелях 3*; сніданки у готелях; сніданок на поромі Карлскруна - Гдиня; екскурсії згідно з програмою туру; супровід керівника групи; страхування до 66р.","факультативні екскурсії, вхідні квитки; особисті витрати; каюти вищого класу на паромах Таллінн-Стокгольм, Карлскруна-Гдиня; харчування на паромі; при груповому бронюванні (акція ""9+1"") - Трансфер до водоспаду Сталхаймфоссен",,,,,✅ done,"14.05.2026, 17:22:53"
https://tangotravel.com.ua/tur/hretsiia-mizh-nebom-ta-zemleiu/?dateid=6293,Тур Греція. Між небом та землею,,10,Найближчий виїзд: 10.06.2026,"проїзд автобусом єврокласу; проживання у дво-, тримісному номері в готелі; супровід керівника групи протягом туру; багаж - валіза та ручна поклажа; страхування віком до 66р.",факультативні екскурсії; особисті витрати,,,,,✅ done,"14.05.2026, 17:22:57"
https://tangotravel.com.ua/tur/karnavalna-mandrivka/?dateid=6897,Тур Карнавальна мандрівка,,5,Найближчий виїзд: 20.05.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії по програмі; супровід керівника групи; страхування,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; обов язкова оренда аудіогіда для оглядової екскурсії - 8 євро (попередня оплата обов язкова); курортний збір в готелях в від 1 до 3 євро/ніч (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата трансферу на озеро Гарда",,,,,✅ done,"14.05.2026, 17:23:01"
https://tangotravel.com.ua/tur/novi-horyzonty-ryga-stokholm-kopenhahen-amsterdam/?dateid=6780,"Тур Нові горизонти: Таллінн, Стокгольм, Копенгаген, Амстердам",,8,Найближчий виїзд: 02.06.2026,"Натисніть щоб подивитись оглядові екскурсії згідно програми туру проїзд автобусом єврокласу багаж - валіза та ручна поклажа проживання в готелі категорії 3*, сніданки проїзд на паромі Таллінн-Стокгольм, Malmo (SE) - Travemunde (DE) у 4-місній каюті (без вікна; душ та туалет в каюті) супровід керівника групи страхування до 66р.","Натисніть щоб подивитись рекомендовані програми, факультативні екскурсії, вхідні квитки особисті витрати каюти вищого класу на паромах Таллінн-Стокгольм, Malmo (SE) - Travemunde (DE) (Вартість від запит) харчування на паромі (див. Додаткові послуги) при груповому бронюванні оплачується депозит на факультативні екскурсії в розмірі 45&euro; Знижки Натисніть щоб подивитись 1. ДЕНЬ НАРОДЖЕННЯ З ТАНГО ТРЕВЕЛ Бери в подорож ще 5 друзів та їдь безкоштовно в тур. Також, отримуй в турі сувенір та подарун",,,,,✅ done,"14.05.2026, 17:23:04"
https://tangotravel.com.ua/tur/zymovi-rozvahy-zakopane!/?dateid=6304,Тур Зимові розваги - Закопане!,,5,,"проїзд автобусом єврокласу; проживання в котеджах; харчування - сніданки та вечері в котеджах; супровід керівника групи; багаж - валіза, ручна поклажа","особисті витрати;; курортний збір в готелях від 1 до 3 євро (оплата на місці);; ski-pass; страхування; при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Кракові",,,,,✅ done,"14.05.2026, 17:23:07"
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,,7,,"Натисніть щоб подивитись оглядові екскурсії по містах Рига, Таллінн, Гельсінкі, Стокгольм, Осло проїзд автобусом єврокласу проживання в готелі категорії 3*, сніданки проїзд на паромі Таллінн-Стокгольм, Карлскруна-Гдиня у 4-місній каюті (без вікна; душ та туалет в каюті) сніданок на поромі Карлскруна - Гдиня багаж - валіза та ручна поклажа супровід керівника групи страхування віком до 66р.","факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях від 1 до 5 євро/ніч (оплата на місці); каюти вищої категорії",Одномісний номер: 160€; Доплата за страхівку дор 66-80р.: 18€; Місце 1-12: 20€,,479,,✅ done,"14.05.2026, 17:23:10"
https://tangotravel.com.ua/tur/moyi-shveytsarski-vykhidni/?dateid=6062,Автобусний тур Мої швейцарські вихідні — 5 днів у Швейцарії від 189€ | Tango Travel,,5,Найближчий виїзд: 20.05.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії за програмою; супровід керівника групи; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях - від 1 до 5&euro;/ніч (оплата на місці); оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Мюнхені",,,,,✅ done,"14.05.2026, 17:23:14"
https://tangotravel.com.ua/tur/vypusknyy-v-hretsiyi/?dateid=8758,Випускний у Греції 2026 — 7 днів на морі від 493 € | Tango Travel,,7,Найближчий виїзд: 24.05.2026,проїзд автобусом єврокласу;; проживання в обраному готелі; харчування в готелі; багаж - валіза та ручна поклажа; супровід керівника групи;; страхування віком до 66р.,особисті витрати; курортний збір в готелі,,,,,✅ done,"14.05.2026, 17:23:18"
https://tangotravel.com.ua/tur/halkidiky-vyhidni-na-mori/?dateid=9207,"Халкідіки — вихідні на морі: автобусний тур зі Львова, ціна від 210€ | Tango Travel",,5,Найближчий виїзд: 24.05.2026,"проїзд автобусом єврокласу; проживання у дво-, тримісному номері в готелі; харчування - сніданки в готелі; супровід керівника групи протягом туру; багаж - валіза та ручна поклажа; страхування віком до 66р.","факультативні екскурсії, вхідні квитки;; особисті витрати;; курортний збір в готелях від 1 до 3 євро/ніч (оплата на місці);; при груповому бронюванні (акція ""9+1"") - обов язкова оплата оглядової екскурсії Салоніками",Одномісний номер: 80€; Доплата за страхівку дор 66-80р.: 10€; Місце 1-12: 15€,,,,✅ done,"14.05.2026, 17:23:23"
