URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://davclub.ua/bus-tours-europe/czech-republic_germany/,Празький вікенд з Києва,1,Київ – Житомир – Рівне – Львів,,"Київ – Житомир – Рівне – Львів Виїзд з Києва ~ 07:00 (На південному терміналі ж/д вокзалу біля супермаркету NOVUS, (вулиця Георгія Кірпи, 5) – локація ). Приєднання туристів: ~ 08:45 – Житомир , заправка «WOG» при в їзді в Житомир з боку Києва; ~ 11:30 – Рівне , окружна, готельно-ресторанний комплекс «4Х4»; ~ 15:30 – Львів , з/д вокзал, автобусний паркінг. Виїзд на кордон.",375
https://davclub.ua/bus-tours-europe/ukraine_czech-republic_germany/,Європейський вікенд,1,Київ – Житомир – Рівне – Львів,,"Київ – Житомир – Рівне – Львів Виїзд з Києва ~ 07:00 (На південному терміналі ж/д вокзалу біля супермаркету NOVUS, (вулиця Георгія Кірпи, 5) – локація ). Приєднання туристів: ~ 08:45 – Житомир , заправка «WOG» при в їзді в Житомир з боку Києва; ~ 11:30 – Рівне , окружна, готельно-ресторанний комплекс «4Х4»; ~ 15:30 – Львів , з/д вокзал, автобусний паркінг. Виїзд на кордон.",375
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-from-odesa/,Чарівна Італія з Одеси,1,Одеса,,"Одеса Виїзд з Одеси в Будапешт автобусом о 05:30 з центрального з/д вокзалу. Приєднання туристів: ~ 07:45 – Криве Озеро; ~ 09:00 – Умань, окружна, АЗС ВОГ в бік а/д Стрий-Знам янка; ~ 11:30 – Вінниця ; ~ 13:30 – Хмельницький; ~ 15:30 – Тернопіль ; ~ 18:30 – Стрий ; ~ 21:30 – Мукачеве ; Перетин українсько-угорського кордону. Перетин українсько-угорського кордону.",364
https://davclub.ua/bus-tours-europe/hungary-austria-germany/,Альпійський вікенд,1,Київ – Житомир – Рівне – Львів Збір групи о,,"Київ – Житомир – Рівне – Львів Збір групи о 07:15 ранку. Виїзд з Києва ~ 07:30 (На південному терміналі ж/д вокзалу біля супермаркету NOVUS, (вулиця Георгія Кірпи, 5) – локація ). Приєднання туристів: ~ 09:15 – Житомир, заправка «WOG» при в їзді в Житомир з боку Києва; ~ 12:00 – Рівне, окружна, готельно-ресторанний комплекс «4Х4»; ~ 16:00 – Львів, з/д вокзал, автобусний паркінг; ~ 21:00 – Чоп, заправка «ОККО» (окружна). Виїзд на кордон.",440
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,1,Львів – Будапешт Вокзал Львів ~,Єврейський квартал) (15€),"Львів – Будапешт Вокзал Львів ~ 06:30 – зустріч і реєстрація туристів керівником групи. Виїзд з м. Львів ~ 07:00 – ж/д вокзал, автобусний паркінг. Виїзд з Мукачево ~ 11:30 (UPG – локація – https://maps.app.goo.gl/9BUweSYC3y4aufVu7?g_st=aw). Виїзд за кордон. Перетинання українсько-угорського кордону. – При швидкому проходженні кордону пропонуємо екскурсію Квартал контрастів (Єврейський квартал) (15€), яка буде цікава кожному туристу, тому, хто тут вперше і тому, хто вже мав можливість тут побувати! Це прогулянка до Базиліки Святого Іштвана та набережній Будапешту, де знаходиться величний Парламент. Наша мета – познайомити вас з цим духом міста і захопити його сучасним життям. Ми вирушимо в незнайомий Будапешт, туди – куди місцеві жителі радять відправитися своїм друзям і близьким, і самі в ",800
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,1,Львів – Будапешт Вокзал Львів ~,Єврейський квартал) (15€),"Львів – Будапешт Вокзал Львів ~ 06:30 – зустріч і реєстрація туристів керівником групи. Виїзд з м. Львів ~ 07:00 – ж/д вокзал, автобусний паркінг. Виїзд з Мукачево ~ 11:30 (UPG – локація – https://maps.app.goo.gl/9BUweSYC3y4aufVu7?g_st=aw). Виїзд за кордон. Перетинання українсько-угорського кордону. – При швидкому проходженні кордону пропонуємо екскурсію Квартал контрастів (Єврейський квартал) (15€), яка буде цікава кожному туристу, тому, хто тут вперше і тому, хто вже мав можливість тут побувати! Це прогулянка до Базиліки Святого Іштвана та набережній Будапешту, де знаходиться величний Парламент. Наша мета – познайомити вас з цим духом міста і захопити його сучасним життям. Ми вирушимо в незнайомий Будапешт, туди – куди місцеві жителі радять відправитися своїм друзям і близьким, і самі в ",800
