ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-10,"Французький Каприз   4 дні в Парижі + Нормандія, долина Луари, Мон-Сен-Мішель!",Франція,"0,18","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-11,"Вітаю, милий Амстердам!",Нідерланди,"0,22","0,70",COMPETITOR,,"0,70",,,,,,,
ACC-12,"Бонжур Лямур або 3 дні в Парижі! ...Париж, Діснейленд та Люксембург...",Франція,"0,06","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-13,Любовне зізнання: Відень + Прага!,Чехія,"0,23","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-14,"Бонжорно, Італія + Швейцарія!",Італія,"0,09","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-15,"Дивовижний світ  4 дні в Швейцарії Женева, Берн, Люцерн + Монблан",Швейцарія,"0,15","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-16,Святкова Прага!!! Виїзд з Києва,Чехія,"0,23","0,65",COMPETITOR,,"0,65",,,,,,,
ACC-17,Прикольними містами: Дрезден + Прага + Брно + Краків!!!,Чехія,"0,00","0,85",COMPETITOR,,"0,85",,,,,,,
ACC-18,"Мюнхен і компанія: Краків, Прага, Відень!",Німеччина,"0,03","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-19,"Душевний Вікенд   Краків, Прага, Відень, Будапешт + Егер ",Австрія,"-0,18","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-20,"Відень, я вже їду!",Австрія,"0,01","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-21,Французька для початківців  Париж+ Діснейленд,Франція,"-0,32","0,64",COMPETITOR,,"0,64",,,,,,,
