ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-150,"Там, де сонце торкається гірських вершин…",Румунія,"0,67","0,50",COMPETITOR,,"0,50",,,,,,,
ACC-151,Вікенд з родзинкою… Замок Корвінів + Турда!,Румунія,"0,02","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-152,У компанії з морем: Відпочинок на Егейському узбережжі,Греція,"-0,38","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-153,"Посмішка Кармен! Любляна, Мілан, Барселона, Ніцца та Венеція!",Іспанія,"-0,12","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-154,Моя гірська симфонія...,Греція,"-0,26","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-155,"Таємничий вікенд... Невермор, Дракула, Бухарест...",Румунія,"0,51","0,57",COMPETITOR,,"0,57",,,,,,,
ACC-156,Солодкі дотики моря... Греція! Відпочинок на Егейському морі!,Греція,"0,03","0,62",COMPETITOR,,"0,62",,,,,,,
ACC-157,Сонячна розкіш Чорногорія + Хорватія Відпочинок на морі в Чорногорії,Чорногорія,"0,15","0,70",COMPETITOR,,"0,70",,,,,,,
ACC-158,Приємний вікенд  Прага + Дрезден,Чехія,"-0,39","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-159,Празьке дежавю  Прага та Відень,Чехія,"-0,33","0,67",COMPETITOR,,"0,67",,,,,,,
ACC-160,Неймовірні пригоди у Санта-Клауса,Фінляндія,"-0,11","0,72",COMPETITOR,,"0,72",,,,,,,
ACC-161,Полювання на вампірів,Румунія,"-0,09","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-162,Подорож в Трансільванію…,Румунія,"0,67","0,54",COMPETITOR,,"0,54",,,,,,,
ACC-163,Ароматний вікенд…,Молдова,"-0,27","0,72",COMPETITOR,,"0,72",,,,,,,
ACC-164,Перше кохання... Прага,Чехія,"0,69","0,57",COMPETITOR,,"0,57",,,,,,,
ACC-165,Пікнічок в Амстердамі,Нідерланди,"-0,36","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-166,Побачення в Парижі! + Мюнхен!,Франція,"0,24","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-167,Вікенд в Бухаресті...,Румунія,"-0,18","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-168,Максимум насолоди або моя бажана відпустка!!!,Албанія,"0,00","0,68",COMPETITOR,,"0,68",,,,,,,
ACC-169,Мій літній романс або який солодкий шум прибою... Албанія,Албанія,"-0,12","0,62",COMPETITOR,,"0,62",,,,,,,
ACC-170,"Канікули в Парижі +Страсбург  Діснейленд, Астерікс, Європа Парк",Франція,"0,08","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-171,Вікенд в Будапешт! + Хевіз!,Угорщина,"-0,36","0,67",COMPETITOR,,"0,67",,,,,,,
ACC-172,"Схід, солодка любов моя... Туреччина + Греція",Греція,"-0,10","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-173,Музика прибою: Відпочинок на Егейському морі Греції!,Греція,"-0,21","0,55",COMPETITOR,,"0,55",,,,,,,
ACC-174,Сієста у греків:  відпочинок на Егейському морі і Охридському озері,Греція,"0,21","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-175,"Всі фарби Балкан  Албанія, Північна Македонія, Болгарія",Албанія,"-0,07","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-176,Неймовірне знайомство... Македонія + Албанія,Албанія,"0,02","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-177,Мій літній коктейль…  Тур з відпочинком на морі в Албанії…,Албанія,"0,30","0,63",COMPETITOR,,"0,63",,,,,,,
ACC-178,Аромат зі східними нотами...,Албанія,"-0,18","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-179,Лапландія і Томтеленд - У світі Санта Клауса!,Фінляндія,"0,11","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-180,Полуниця з Портвейном... Португалія,Португалія,"0,00","0,82",COMPETITOR,,"0,82",,,,,,,
ACC-181,Амстердам - ковток свободи,Нідерланди,"0,05","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-182,"Веселий ярмарок...  Різдвяна Німеччина та Франція.  Дрезден, Нюрнберг, Страсбург, Кольмар, Прага",Німеччина,"0,13","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-183,Без меж - Будапешт!  Виїзд  з Києва,Угорщина,"0,22","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-1,Чеські перлини: 4 ночі в Празі + Дрезден  ,Чехія,"0,24","0,64",COMPETITOR,,"0,64",,,,,,,
ADR-2,"Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція  ",Італія,"-0,13","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-3,Європейська мозаїка: Краків-Прага-Відень-Будапешт ,Австрія,"0,00","0,80",COMPETITOR,,"0,80",,,,,,,
ADR-4,Неймовірна Швейцарія та Ельзас!  ,Швейцарія,"-0,15","0,78",COMPETITOR,,"0,78",,,,,,,
ADR-5,"Італійський вікенд... Венеція, Флоренція, Рим  ",Італія,"-0,25","0,64",COMPETITOR,,"0,64",,,,,,,
ADR-6,Париж - місто кохання ,Франція,"-0,29","0,65",COMPETITOR,,"0,65",,,,,,,
ADR-7,«Австрійський хіт + Будапешт» ,Австрія,"-0,28","0,64",COMPETITOR,,"0,64",,,,,,,
ADR-8,"Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов  ",Чехія,"0,10","0,75",COMPETITOR,,"0,75",,,,,,,
ADR-9,Мікс вікенд: Будапешт + Відень  ,Австрія,"-0,47","0,53",COMPETITOR,,"0,53",,,,,,,
ADR-10,Так добре разом: Париж+ Бенілюкс  ,Франція,"0,38","0,68",COMPETITOR,,"0,68",,,,,,,
ADR-11,Містична Трансільванія  ,Румунія,"0,04","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-12,"Смарагди Польщі: Морське Око, Закопане, Краків ",Польща,"0,03","0,75",COMPETITOR,,"0,75",,,,,,,
ADR-13,Вікенд в Трансільванії  ,Румунія,"-0,13","0,60",COMPETITOR,,"0,60",,,,,,,
ADR-14,"Прага - місто, яке обрало мене ",Чехія,"-0,15","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-15,"Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь  ",Італія,"0,32","0,68",COMPETITOR,,"0,68",,,,,,,
ADR-16,Який чудовий Краків + парк Енерджіландія  ,Польща,"0,00","0,77",COMPETITOR,,"0,77",,,,,,,
ADR-17,Прага - моє улюблене місто ,Чехія,"-0,19","0,66",COMPETITOR,,"0,66",,,,,,,
ADR-18,"О Рим, ти цілий світ! ",Італія,"0,05","0,80",COMPETITOR,,"0,80",,,,,,,
ADR-19,Зустрічаємось в Парижі + Мюнхен та Зальцбург ,Франція,"-0,02","0,81",COMPETITOR,,"0,81",,,,,,,
ADR-20,Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!  ,Франція,"-0,14","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-21,Румунія запрошує! Бухарест + замки Трансільванії  ,Румунія,"0,01","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-22,Блискучий вікенд: Дрезден - Прага - Відень - Будапешт  ,Польща,"0,63","0,53",COMPETITOR,,"0,53",,,,,,,
ADR-23,Кращі з кращих: Відень-Зальцбург-Мюнхен  ,Австрія,"0,20","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-24,Який чудовий цей Краків  ,Польща,"0,00","0,77",COMPETITOR,,"0,77",,,,,,,
ADR-25,Приємний вікенд: Краків-Прага-Відень-Будапешт  ,Австрія,"-0,23","0,60",COMPETITOR,,"0,60",,,,,,,
ADR-26,Париж - це пристрасть! Париж - це свято!»,Франція,"-0,11","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-27,"Відпустка класу ""Люкс"" - країни БеНіЛюкс!  ",Нідерланди,"0,02","0,80",COMPETITOR,,"0,80",,,,,,,
ADR-28,Наш чудовий вікенд: Краків-Дрезден-Прага  ,Німеччина,"-0,17","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-29,"Від краю до краю: Париж, Амстердам, Нормандія… ",Франція,"-0,04","0,75",COMPETITOR,,"0,75",,,,,,,
ADR-30,"Французький колорит: Париж, Страсбург та Діснейленд!  ",Франція,"0,00","0,85",COMPETITOR,,"0,85",,,,,,,
ADR-31,"Vive La France! Мон-Сен-Мішель, Луара та Нормандія! ",Франція,"0,11","0,79",COMPETITOR,,"0,79",,,,,,,
ADR-32,Гарно так: Париж + Цюрих! ,Франція,"0,00","0,85",COMPETITOR,,"0,85",,,,,,,
ADR-33,"Швейцарія для тебе... Гріндельвальд, Швейцарська Рів'єра, гора Пілатус + гора Монблан!  ",Швейцарія,"-0,04","0,87",COMPETITOR,,"0,87",,,,,,,
ADR-34,Вікенд в Швейцарію + Зальцбург та Прага! ,Швейцарія,"-0,24","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-35,Побачення на двох - Венеція і Верона… ,Італія,"-0,55","0,47",COMPETITOR,,"0,47",,,,,,,
ADR-36,"Смак Тоскани: Флоренція, Сієна та Сан-Джиміньяно  ",Італія,"0,17","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-37,Прекрасна - як мадонна! Донна Барселона!  ,Іспанія,"-0,20","0,66",COMPETITOR,,"0,66",,,,,,,
ADR-38,Австрійський вікенд: Відень - Зальцбург - Прага  ,Австрія,"0,18","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-39,Міста для поцілунків: Відень-Венеція-Верона  ,Італія,"-0,12","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-40,Незабутня відпустка в Німеччині  ,Чехія,"0,72","0,53",COMPETITOR,,"0,53",,,,,,,
ADR-41,Доломітові Альпи Італії: Відпочинок на вершині небес  ,Італія,"0,04","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-42,"Краса без фільтрів: Зальцбург, Гальштат та озерний край Зальцкаммергут ",Австрія,"0,32","0,69",COMPETITOR,,"0,69",,,,,,,
ADR-43,Париж та Амстердам збирає друзів!  ,Нідерланди,"0,15","0,77",COMPETITOR,,"0,77",,,,,,,
ADR-44,Італія моя любов... Венеція-Мілан-Верона  ,Італія,"-0,43","0,55",COMPETITOR,,"0,55",,,,,,,
ADR-45,"Від Альп до пальм: 3 дні в Барселоні + Зальцбург, Цюрих ",Франція,"0,29","0,50",COMPETITOR,,"0,50",,,,,,,
ADR-46,Незабутні моменти в Доломітових Альпах  ,Австрія,"0,83","0,42",COMPETITOR,,"0,42",,,,,,,
ADR-47,"Альпійська розкіш: Словенія, Італія та Австрія  ",Угорщина,"0,83","0,47",COMPETITOR,,"0,47",,,,,,,
ADR-48,Привіт Париж! (3 дні в Парижі + Нормандія та Діснейленд ,Франція,"-0,11","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-49,Подаруй собі Amsterdam  ,Нідерланди,"-0,03","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-50,Селфі в Амстердамі ,Нідерланди,"-0,30","0,62",COMPETITOR,,"0,62",,,,,,,
ADR-51,Слідами вікінгів: Стокгольм + Осло  ,Норвегія,"-0,16","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-52,"Ах, мій милий Амстердам… ",Нідерланди,"0,02","0,77",COMPETITOR,,"0,77",,,,,,,
ADR-53,Романтика Адріатики: Хорватія та Чорногорія  ,Хорватія,"0,11","0,66",COMPETITOR,,"0,66",,,,,,,
ADR-54,"Подорож Балканами: Хорватія, Чорногорія, Албанія, Македонія та Боснія і Герцеговина  ",Хорватія,"0,23","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-55,"Ми в Ніццу, в Ніццу з вітерцем  ",Франція,"0,34","0,65",COMPETITOR,,"0,65",,,,,,,
ADR-56,Лазурна перлина - Ніцца  ,Франція,"0,34","0,54",COMPETITOR,,"0,54",,,,,,,
ADR-57,Тіроль - серце Альп ,Австрія,"0,70","0,54",COMPETITOR,,"0,54",,,,,,,
ADR-58,"Венеція - земля кохання і море чар… Портофіно, Мілан, озеро Комо  ",Італія,"0,05","0,76",COMPETITOR,,"0,76",,,,,,,
ADR-59,"Світ фантазій: Амстердам, Брюссель, Париж + парки розваг!  ",Нідерланди,"0,53","0,62",COMPETITOR,,"0,62",,,,,,,
ADR-60,"Земля фіордів, льодовиків... Норвегія... ",Норвегія,"-0,03","0,75",COMPETITOR,,"0,75",,,,,,,
ADR-61,"Італійський вікенд... Венеція, Флоренція, Рим ",Італія,"-0,27","0,63",COMPETITOR,,"0,63",,,,,,,
ADR-62,Вікенд в Берліні  ,Німеччина,"-0,17","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-63,"Польськими містами - Краків, Вроцлав, Варшава + Енерджіландія, Африкаріум і аквапарк ",Польща,"0,29","0,69",COMPETITOR,,"0,69",,,,,,,
ADR-64,"Секрети півночі: Стокгольм, Копенгаген та Гамбурґ  ",Швеція,"0,83","0,46",COMPETITOR,,"0,46",,,,,,,
ADR-65,Європейський експрес - від Кракова до Берліна ,Німеччина,"-0,01","0,86",COMPETITOR,,"0,86",,,,,,,
ADR-66,"Три дні релаксу: Будапешт, Егер, Токай + Відень  ",Австрія,"-0,14","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-67,Слідами таємниць і легенд: Вроцлав-Берлін-Дрезден  ,Німеччина,"-0,17","0,69",COMPETITOR,,"0,69",,,,,,,
ADR-68,Дрезден та Берлін - Живи і Подорожуй  ,Німеччина,"-0,17","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-69,Італійські канікули на трьох морях ,Італія,"0,18","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-70,Пригоди в Парижі + Кольмар та Страсбург!  ,Франція,"0,00","0,81",COMPETITOR,,"0,81",,,,,,,
ADR-71,Подорож до мрії: Париж та Діснейленд  ,Франція,"-0,23","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-72,"Тур де Франс: Париж, Мон-Сен-Мішель, Луара та Нормандія! ",Франція,"0,30","0,76",COMPETITOR,,"0,76",,,,,,,
ADR-73,"Магія Скандинавії: Фіорди, Язик Троля, Берген, Льодовик!  ",Норвегія,"0,00","0,76",COMPETITOR,,"0,76",,,,,,,
ADR-74,Давай разом в Амстердам  ,Нідерланди,"-0,11","0,74",COMPETITOR,,"0,74",,,,,,,
ADR-75,Чорногорія - перлина Балканської Адріатики  ,Чорногорія,"0,18","0,57",COMPETITOR,,"0,57",,,,,,,
ADR-76,Морські історії в серці Чорногорії  ,Чорногорія,"0,17","0,58",COMPETITOR,,"0,58",,,,,,,
ADR-77,Вдала ідея - відпустка в Чорногорії,Чорногорія,"-0,04","0,64",COMPETITOR,,"0,64",,,,,,,
ADR-78,Знайомство з Норвегією: 4 фіорди + Язик Троля/Берген/Льодовик!» ,Норвегія,"-0,23","0,65",COMPETITOR,,"0,65",,,,,,,
ADR-79,Казкові канікули у Парижі + Нормандія! ,Франція,"-0,14","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-80,"Лігурійське узбережжя - відпочинок в задоволення: Генуя, Флоренція, Венеція  ",Італія,"0,05","0,76",COMPETITOR,,"0,76",,,,,,,
ADR-81,Грецькі канікули (7 ночей на морі) ,Греція,"0,44","0,43",COMPETITOR,,"0,43",,,,,,,
ADR-82,«Італія моя любов... Венеція-Мілан-Верона»,Італія,"-0,43","0,55",COMPETITOR,,"0,55",,,,,,,
ADR-83,Еліксир кохання або 3 дні в Парижі: Нормандія + Ельзас,Франція,"0,12","0,81",COMPETITOR,,"0,81",,,,,,,
ADR-84,Селфі в Парижі + Берлін та Прага!  ,Франція,"-0,14","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-85,Грецькі контрасти (7 ночей на морі в Калітеї)  ,Греція,"0,28","0,50",COMPETITOR,,"0,50",,,,,,,
ADR-86,Візьми мене до Греції ,Греція,"0,09","0,59",COMPETITOR,,"0,59",,,,,,,
ADR-87,Греція - моя любов  ,Греція,"0,09","0,59",COMPETITOR,,"0,59",,,,,,,
ADR-88,"Казковими містами: Амстердам, Брюссель, Париж ",Нідерланди,"0,35","0,74",COMPETITOR,,"0,74",,,,,,,
ADR-89,Ласкаво просимо в Стокгольм ,Швеція,"0,17","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-90,Балтійський дует: Таллінн та Стокгольм  ,Швеція,"-0,05","0,63",COMPETITOR,,"0,63",,,,,,,
ADR-91,Золоті піски Іспанії! (6 ночей на морі)  ,Іспанія,"0,40","0,47",COMPETITOR,,"0,47",,,,,,,
ADR-92,Шарм Парижу та розкіш Нормандії!  ,Франція,"-0,05","0,83",COMPETITOR,,"0,83",,,,,,,
ADR-93,"Хвилями Балтійського моря: Таллінн, Гельсінкі, Стокгольм  ",Естонія,"0,10","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-94,Незабутній Амстердам  ,Нідерланди,"-0,37","0,56",COMPETITOR,,"0,56",,,,,,,
ADR-95,Ідеальна формула Швейцарії: Пілатус + Матергорн + Сан-Бернардіно та Монблан!  ,Швейцарія,"0,28","0,77",COMPETITOR,,"0,77",,,,,,,
ADR-96,Прекрасні дні в Швейцарії!  ,Швейцарія,"-0,31","0,62",COMPETITOR,,"0,62",,,,,,,
ADR-97,"Стильна Франція: Мон-Сен-Мішель, Луара та Нормандія!  ",Франція,"0,43","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-98,Океан почуттів - Португалія!  ,Португалія,"0,07","0,83",COMPETITOR,,"0,83",,,,,,,
ADR-99,"Вікенд в Хорватії - сонце, море і термали  ",Хорватія,"-0,58","0,46",COMPETITOR,,"0,46",,,,,,,
ADR-100,"Адріатичні пригоди: Любляна, Загреб, Плітвіцькі озера та острів Крк  ",Хорватія,"-0,25","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-101,Солодкий тиждень - Франція та Швейцарія! ,Франція,"0,19","0,74",COMPETITOR,,"0,74",,,,,,,
ADR-102,"Париж запалює серця… Мюнхен, Дрезден, Прага та Діснейленд  ",Франція,"-0,23","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-103,"Чудеса Швейцарії: Гріндельвальд, Бріенц, Цюрих, Люцерн, Верзаска та Лугано  ",Швейцарія,"0,03","0,84",COMPETITOR,,"0,84",,,,,,,
ADR-104,Кохання в Льорет-де-Мар (5 ночей на морі)  ,Іспанія,"0,64","0,49",COMPETITOR,,"0,49",,,,,,,
ADR-105,"Південна красуня, красуня Іспанія  ",Іспанія,"0,25","0,51",COMPETITOR,,"0,51",,,,,,,
ADR-106,Ідеальне літо в Іспанії (5 ночей на морі) ,Іспанія,"0,33","0,48",COMPETITOR,,"0,48",,,,,,,
ADR-107,Бажання дам - Амстердам! 3 дні в Амстердамі + парк Кекенхоф,Нідерланди,"-0,08","0,75",COMPETITOR,,"0,75",,,,,,,
ADR-108,Альпійські чари! Швейцарія + Італія + Австрія…  ,Швейцарія,"0,09","0,78",COMPETITOR,,"0,78",,,,,,,
ADR-109,"Якщо на землі є рай, то це Швейцарія  ",Швейцарія,"-0,23","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-110,Just Hvar. Просто Хвар» (7 ночей на морі в Хорватії)  ,Хорватія,"0,50","0,41",COMPETITOR,,"0,41",,,,,,,
ADR-111,Хорватія... Мить насолоди. Острів Хвар  ,Хорватія,"0,00","0,65",COMPETITOR,,"0,65",,,,,,,
ADR-112,"Амстердам від ""А"" до ""М"" або 4 дні в Нідерландах + парк Кекенхоф",Нідерланди,"0,11","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-113,Вище хмар - Швейцарія..,Швейцарія,"0,47","0,61",COMPETITOR,,"0,61",,,,,,,
ADR-114,Країна гір і моря... Моя Чорногорія  ,Чорногорія,"-0,22","0,56",COMPETITOR,,"0,56",,,,,,,
ADR-115,"Казкові три дні на Лазурному березі! Ніцца, Канни та Монако  ",Франція,"0,05","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-116,Канікули у Франції! Парки розваг + Нормандія!  ,Франція,"0,14","0,74",COMPETITOR,,"0,74",,,,,,,
ADR-117,"Вітаю, Montenegro!  ",Хорватія,"-0,28","0,53",COMPETITOR,,"0,53",,,,,,,
ADR-118,"Buona sera, Сицилія: Палермо, Катанія, Етна + морський круїз»  ",Італія,"1,24","0,27",COMPETITOR,,"0,27",,,,,,,
ADR-119,"Сонячна Апулія: Барі, Матера та Альберобелло  ",Італія,"0,64","0,57",COMPETITOR,,"0,57",,,,,,,
ADR-120,Мелодії Адріатичного моря  ,Італія,"0,32","0,56",COMPETITOR,,"0,56",,,,,,,
ADR-121,Італія - морська спокуса: 5 ночей на морі в Ріміні  ,Італія,"0,07","0,60",COMPETITOR,,"0,60",,,,,,,
ADR-122,"Під одним небом, Рим та Париж! ",Франція,"0,14","0,69",COMPETITOR,,"0,69",,,,,,,
ADR-123,Тур від кутюр: Париж та Мілан!  ,Франція,"0,33","0,67",COMPETITOR,,"0,67",,,,,,,
ADR-124,На хвилинку в Амстердам + парк Кекенхоф  ,Нідерланди,"-0,13","0,71",COMPETITOR,,"0,71",,,,,,,
ADR-125,Яскраві барви Адріатики: 6 ночей на морі в Ріміні  ,Італія,"0,15","0,57",COMPETITOR,,"0,57",,,,,,,
ADR-126,"Дивовижні канікули в Нідерландах + 4 парки: ""Fantasialand"", ""Efteling"", ""Keukenhof"" та ""Madurodam""  ",Нідерланди,"0,38","0,62",COMPETITOR,,"0,62",,,,,,,
ADR-127,Красуня Албанія  ,Албанія,"0,12","0,57",COMPETITOR,,"0,57",,,,,,,
ADR-128,Дорогами казкової Німеччини: Мюнхен + замок Нойшванштайн  ,Німеччина,"0,18","0,70",COMPETITOR,,"0,70",,,,,,,
ADR-129,Європейський випускний: Краків - Прага - Відень - Будапешт,Австрія,"-0,07","0,73",COMPETITOR,,"0,73",,,,,,,
ADR-130,Дитячі пригоди в Італії + парки розваг Гардаленд та Леоландія  ,Італія,"-0,33","0,61",COMPETITOR,,"0,61",,,,,,,
ADR-131,Наша Хорватська відпустка  ,Хорватія,"0,87","0,23",COMPETITOR,,"0,23",,,,,,,
ADR-132,Італія серце Адріатики: 5 ночей на морі в Лідо ді Єзоло  ,Італія,"0,34","0,56",COMPETITOR,,"0,56",,,,,,,
ADR-133,"Марципанові канікули в Угорщині: Будапешт, Сентендре + аквапарк Aquasziget, зоопарк Шошто  ",Угорщина,"0,08","0,72",COMPETITOR,,"0,72",,,,,,,
ADR-134,Барселона - серце Каталонії  ,Іспанія,"-0,18","0,64",COMPETITOR,,"0,64",,,,,,,
ADR-135,Літня відпустка в Албанії  ,Албанія,"0,17","0,55",COMPETITOR,,"0,55",,,,,,,
ADR-136,"Рандеву в Парижі + Ельзас = 5 днів у Франції (Нормандія, Замки Луари, Мон-Сен-Мішель + 2 парки розваг) ",Франція,"0,30","0,71",COMPETITOR,,"0,71",,,,,,,
DAV-1,Празький вікенд з Києва,Чехія,"0,00","0,64",COMPETITOR,,"0,64",,,,,,,
DAV-2,Європейський вікенд,Чехія,"0,15","0,62",COMPETITOR,,"0,62",,,,,,,
DAV-3,Грецькі Канікули (Олімпійська Рив'єра) 2025,Греція,"-0,16","0,58",COMPETITOR,,"0,58",,,,,,,
DAV-4,Bella Італія - відпочинок на морі,Італія,"0,76","0,28",COMPETITOR,,"0,28",,,,,,,
DAV-5,Грецькі Канікули (Олімпійська Рив'єра) 2025,Греція,"-0,03","0,63",COMPETITOR,,"0,63",,,,,,,
DAV-6,Молодіжний центр Orfeas Olympic Camp у Греції 2025,Греція,"0,72","0,31",COMPETITOR,,"0,31",,,,,,,
DAV-7,Чарівна Італія з Одеси,Італія,"0,41","0,48",COMPETITOR,,"0,48",,,,,,,
DAV-8,Альпійський вікенд,Австрія,"0,45","0,47",COMPETITOR,,"0,47",,,,,,,
DAV-9,Казкова Угорщина + Відень,Італія,"-0,35","0,55",COMPETITOR,,"0,55",,,,,,,
DAV-10,"Мріючи про нього: Амстердам, Брюссель, Париж, Люксембург, Прага і Берлін!",Франція,"0,28","0,77",COMPETITOR,,"0,77",,,,,,,
DAV-11,Казкова Угорщина + Відень,Угорщина,"0,38","0,54",COMPETITOR,,"0,54",,,,,,,
ITR-1,Неповторна Баварія + Прага та Відень,Австрія,"-0,15","0,71",COMPETITOR,,"0,71",,,,,,,
ITR-2,"VIVA Італія! Венеція, Мілан, озера Гарда та Комо",Італія,"-0,44","0,59",COMPETITOR,,"0,59",,,,,,,
ITR-3,Баварська мрія,Австрія,"0,35","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-4,Париж та голуби: 3 дні в Парижі (без нічних переїздів),Франція,"0,11","0,79",COMPETITOR,,"0,79",,,,,,,
ITR-5,"Три бажання: Краків, Прага та Відень",Австрія,"-0,40","0,59",COMPETITOR,,"0,59",,,,,,,
ITR-6,Амстердамський експрес,Німеччина,"0,01","0,74",COMPETITOR,,"0,74",,,,,,,
ITR-7,Круасани і тюльпани: Амстердам + Париж,Бельгія,"0,01","0,72",COMPETITOR,,"0,72",,,,,,,
ITR-8,Голландський калейдоскоп,Німеччина,"0,39","0,56",COMPETITOR,,"0,56",,,,,,,
ITR-9,"Столичні пригоди: Будапешт, Відень, Прага + Краків!",Австрія,"-0,10","0,72",COMPETITOR,,"0,72",,,,,,,
ITR-10,Словацька мелодія з Віденським шармом!,Австрія,"0,20","0,70",COMPETITOR,,"0,70",,,,,,,
ITR-11,Кураж столицями,Австрія,"-0,20","0,65",COMPETITOR,,"0,65",,,,,,,
ITR-12,Угорський танок: Будапешт і Відень,Австрія,"-0,30","0,61",COMPETITOR,,"0,61",,,,,,,
ITR-13,"Європейська розкіш – Ніцца, Монако, Портофіно…",Італія,"-0,35","0,64",COMPETITOR,,"0,64",,,,,,,
ITR-14,Лазурний МЕГАтур,Італія,"0,18","0,71",COMPETITOR,,"0,71",,,,,,,
ITR-15,Лазурний шик: 2 дні на Рив'єрі,Італія,"-0,03","0,73",COMPETITOR,,"0,73",,,,,,,
ITR-16,Джульєтта і гондоли,Італія,"-0,59","0,41",COMPETITOR,,"0,41",,,,,,,
ITR-17,"Спокусливе тріо: Венеція, Ніцца, Барселона",Іспанія,"-0,07","0,72",COMPETITOR,,"0,72",,,,,,,
ITR-18,"Тисячі лайків: Венеція, Рим, Флоренцію, Піза",Італія,"-0,29","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-19,Італійська симфонія: Венеція + Доломітові Альпи,Австрія,"0,08","0,75",COMPETITOR,,"0,75",,,,,,,
ITR-20,Доломітові Альпи - мандрівка серед величі вершин,Австрія,"0,75","0,51",COMPETITOR,,"0,51",,,,,,,
ITR-21,Альпійський експрес: Швейцарія + Австрія,Австрія,"0,60","0,58",COMPETITOR,,"0,58",,,,,,,
ITR-22,"Тур-де-Круасан: Париж (4 дні), Нормандія, замки Луари",Австрія,"0,80","0,41",COMPETITOR,,"0,41",,,,,,,
ITR-23,"Їж.Люби.Подорожуй: Венеція, Рим 2 ночі, Флоренцію, Піза",Італія,"0,02","0,74",COMPETITOR,,"0,74",,,,,,,
ITR-24,Альпійська красуня – Швейцарія,Австрія,"0,40","0,57",COMPETITOR,,"0,57",,,,,,,
ITR-25,"Романтичний мікс: Кельн, Люксембург, Страсбург",Німеччина,"0,26","0,67",COMPETITOR,,"0,67",,,,,,,
ITR-26,"VIVA Італія! Венеція, Мілан, озера Гарда та Комо",Італія,"-0,44","0,59",COMPETITOR,,"0,59",,,,,,,
ITR-27,Benelux - таємниці трьох країн,Бельгія,"-0,10","0,78",COMPETITOR,,"0,78",,,,,,,
