,,,,,,,,,МІСЯЦІ,,,,,,,,,,,
ТУРОПЕРАТОР,КІЛЬКІСТЬ ТУРІВ,НАПРЯМКИ,СЕРЕДНЯ ЦІНА,СЕРЕДНІЙ VALUE SCORE ПО РИНКУ,СЕРЕДНЄ ВІДХИЛЕННЯ ВІД МЕДІАНИ РИНКУ,ЧАСТКА EUROTRIPS,ЧАСТКА COMPETITORS,КІЛЬКІСТЬ ВИЇЗДІВ НА РІК,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ
Accord tour,183,23,"345,04","0,70","0,02",0,1,1411,0,0,0,413,1171,1328,1304,1395,1069,1214,750,805
Adriatic,136,19,"353,63","0,66","0,08",0,1,944,0,0,0,54,502,524,541,555,451,478,307,281
DavClub,11,6,"374,14","0,53","0,24",0,1,58,0,0,0,7,19,31,19,26,33,26,12,11
Eurotrips,39,15,"271,31","0,64","-0,09",1,0,155,0,0,0,10,16,40,45,44,41,37,18,27
ITravel,54,12,"284,52","0,64","0,01",0,1,439,0,0,0,52,202,188,196,200,179,199,145,163
Rich Tour,10,8,"435,85","0,45","0,51",0,1,31,0,0,0,0,0,28,30,26,19,5,9,8
Tango Travel,43,18,"239,30","0,60","-0,15",0,1,169,0,0,0,12,58,61,54,59,29,16,0,0
Travel Room,13,6,"383,85","0,64","0,21",0,1,38,0,0,0,9,7,5,5,4,6,4,1,0
