stop_clean,stop_type,total_tours,eurotrips_tours,competitor_tours,total_occurrences,avg_value_score,avg_price,add_score,trim_score,recommendation,priority
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
