stop_clean,stop_type,total_tours,eurotrips_tours,competitor_tours,total_occurrences,avg_value_score,avg_price,add_score,trim_score,recommendation,priority
Зальцбург,3,38,2,36,38,1,0,"12,075","-11,9",ADD,HIGH
Зальцбург Гальштат,10,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Зальцкаммергут,3,23,1,23,23,0,0,"7,7","-7,525",ADD,HIGH
Замки Луари,7,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Замок Вартбург,3,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Замок Дракули,2,2,2,1,2,0,1,"-0,35","0,525",TRIM,LOW
Замок Кантакузіно,4,2,2,1,2,0,1,"-0,35","0,525",TRIM,LOW
Замок Нойшвайнштайн,8,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Замок Нойшванштайн,4,4,1,4,4,0,1,"1,05","-0,875",ADD,HIGH
Интерлакен,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Інтерлакен,5,22,1,21,22,1,0,"7,175",-7,ADD,HIGH
Канкаль,9,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Канни,8,13,1,12,13,1,0,"4,025","-3,85",ADD,HIGH
Капрі,11,7,1,7,7,1,0,"2,275","-2,1",ADD,HIGH
Карлові Вари,6,6,1,6,6,1,0,"1,925","-1,75",ADD,HIGH
Катовіце,4,5,1,5,8,1,0,"1,575","-1,4",ADD,HIGH
Каунас,1,2,1,1,2,1,0,"0,175",0,ADD,LOW
Кведлінбург,12,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Кежмарок,5,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Кекенхоф,5,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Кельн,13,8,1,8,8,1,0,"2,625","-2,45",ADD,HIGH
Київ,1,12,2,10,13,1,0,"2,975","-2,8",ADD,HIGH
Кольмар,5,20,1,20,20,1,0,"6,825","-6,65",ADD,HIGH
Копенгаген,3,12,1,11,12,1,0,"3,675","-3,5",ADD,HIGH
Коста Брава,3,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Кошице,7,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Краків,1,149,6,143,151,1,0,"48,125","-47,95",ADD,HIGH
