ID ТУРУ,НАЗВА ТУРУ,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ДНІ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
ADR-79,Казкові канікули у Парижі + Нормандія! ,12,7,4,0,7,"1,00","0,00","0,57","0,00","4,10","0,59",1,0
ADR-80,"Лігурійське узбережжя - відпочинок в задоволення: Генуя, Флоренція, Венеція  ",7,7,2,0,6,"1,17","0,00","0,33","0,00","3,10","0,52",0,0
ADR-81,Грецькі канікули (7 ночей на морі) ,5,1,1,0,10,"0,10","0,00","0,10","0,00","0,80","0,08",0,0
ADR-82,«Італія моя любов... Венеція-Мілан-Верона»,5,5,2,0,5,"1,00","0,00","0,40","0,00","2,50","0,50",0,0
ADR-83,Еліксир кохання або 3 дні в Парижі: Нормандія + Ельзас,14,8,4,0,7,"1,14","0,00","0,57","0,00","4,40","0,63",1,0
ADR-84,Селфі в Парижі + Берлін та Прага!  ,7,7,4,0,5,"1,40","0,00","0,80","0,00","4,10","0,82",0,0
ADR-85,Грецькі контрасти (7 ночей на морі в Калітеї)  ,5,1,1,0,10,"0,10","0,00","0,10","0,00","0,80","0,08",0,0
ADR-86,Візьми мене до Греції ,5,1,1,0,10,"0,10","0,00","0,10","0,00","0,80","0,08",0,0
ADR-87,Греція - моя любов  ,4,1,1,0,10,"0,10","0,00","0,10","0,00","0,80","0,08",0,1
ADR-88,"Казковими містами: Амстердам, Брюссель, Париж ",18,8,6,0,8,"1,00","0,00","0,75","0,00","5,40","0,68",1,0
ADR-89,Ласкаво просимо в Стокгольм ,5,5,5,0,6,"0,83","0,00","0,83","0,00","4,00","0,67",0,0
ADR-90,Балтійський дует: Таллінн та Стокгольм  ,3,3,3,0,5,"0,60","0,00","0,60","0,00","2,40","0,48",0,0
ADR-91,Золоті піски Іспанії! (6 ночей на морі)  ,13,5,4,0,12,"0,42","0,00","0,33","0,00","3,50","0,29",0,0
ADR-92,Шарм Парижу та розкіш Нормандії!  ,12,7,3,0,7,"1,00","0,00","0,43","0,00","3,60","0,51",1,0
ADR-93,"Хвилями Балтійського моря: Таллінн, Гельсінкі, Стокгольм  ",7,6,5,0,6,"1,00","0,00","0,83","0,00","4,30","0,72",0,0
ADR-94,Незабутній Амстердам  ,9,7,4,0,5,"1,40","0,00","0,80","0,00","4,10","0,82",1,0
ADR-95,Ідеальна формула Швейцарії: Пілатус + Матергорн + Сан-Бернардіно та Монблан!  ,13,7,5,0,7,"1,00","0,00","0,71","0,00","4,60","0,66",1,0
ADR-96,Прекрасні дні в Швейцарії!  ,7,7,4,0,5,"1,40","0,00","0,80","0,00","4,10","0,82",0,0
ADR-97,"Стильна Франція: Мон-Сен-Мішель, Луара та Нормандія!  ",17,8,5,0,8,"1,00","0,00","0,63","0,00","4,90","0,61",1,0
ADR-98,Океан почуттів - Португалія!  ,31,12,6,0,14,"0,86","0,00","0,43","0,00","6,60","0,47",1,0
ADR-99,"Вікенд в Хорватії - сонце, море і термали  ",4,2,2,0,4,"0,50","0,00","0,50","0,00","1,60","0,40",0,0
ADR-100,"Адріатичні пригоди: Любляна, Загреб, Плітвіцькі озера та острів Крк  ",4,3,3,0,5,"0,60","0,00","0,60","0,00","2,40","0,48",0,0
ADR-101,Солодкий тиждень - Франція та Швейцарія! ,13,8,5,0,7,"1,14","0,00","0,71","0,00","4,90","0,70",1,0
ADR-102,"Париж запалює серця… Мюнхен, Дрезден, Прага та Діснейленд  ",12,7,4,0,6,"1,17","0,00","0,67","0,00","4,10","0,68",1,0
ADR-103,"Чудеса Швейцарії: Гріндельвальд, Бріенц, Цюрих, Люцерн, Верзаска та Лугано  ",7,5,4,0,6,"0,83","0,00","0,67","0,00","3,50","0,58",0,0
ADR-104,Кохання в Льорет-де-Мар (5 ночей на морі)  ,23,10,8,0,12,"0,83","0,00","0,67","0,00","7,00","0,58",1,0
ADR-105,"Південна красуня, красуня Іспанія  ",17,6,6,0,10,"0,60","0,00","0,60","0,00","4,80","0,48",1,0
ADR-106,Ідеальне літо в Іспанії (5 ночей на морі) ,17,7,6,0,11,"0,64","0,00","0,55","0,00","5,10","0,46",1,0
ADR-107,Бажання дам - Амстердам! 3 дні в Амстердамі + парк Кекенхоф,11,7,3,0,6,"1,17","0,00","0,50","0,00","3,60","0,60",1,0
ADR-108,Альпійські чари! Швейцарія + Італія + Австрія…  ,10,9,5,0,6,"1,50","0,00","0,83","0,00","5,20","0,87",1,0
ADR-109,"Якщо на землі є рай, то це Швейцарія  ",8,6,5,0,5,"1,20","0,00","1,00","0,00","4,30","0,86",1,0
ADR-110,Just Hvar. Просто Хвар» (7 ночей на морі в Хорватії)  ,6,3,2,0,10,"0,30","0,00","0,20","0,00","1,90","0,19",0,0
ADR-111,Хорватія... Мить насолоди. Острів Хвар  ,6,3,2,0,10,"0,30","0,00","0,20","0,00","1,90","0,19",0,0
ADR-112,"Амстердам від ""А"" до ""М"" або 4 дні в Нідерландах + парк Кекенхоф",13,10,4,0,7,"1,43","0,00","0,57","0,00","5,00","0,71",1,0
ADR-113,Вище хмар - Швейцарія..,11,8,6,0,8,"1,00","0,00","0,75","0,00","5,40","0,68",0,0
ADR-114,Країна гір і моря... Моя Чорногорія  ,9,5,3,0,8,"0,63","0,00","0,38","0,00","3,00","0,38",0,0
ADR-115,"Казкові три дні на Лазурному березі! Ніцца, Канни та Монако  ",12,6,5,0,7,"0,86","0,00","0,71","0,00","4,30","0,61",1,0
ADR-116,Канікули у Франції! Парки розваг + Нормандія!  ,12,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",1,0
ADR-117,"Вітаю, Montenegro!  ",6,3,2,0,7,"0,43","0,00","0,29","0,00","1,90","0,27",0,0
ADR-118,"Buona sera, Сицилія: Палермо, Катанія, Етна + морський круїз»  ",15,6,2,0,11,"0,55","0,00","0,18","0,00","2,80","0,25",0,0
ADR-119,"Сонячна Апулія: Барі, Матера та Альберобелло  ",19,11,4,0,10,"1,10","0,00","0,40","0,00","5,30","0,53",1,0
ADR-120,Мелодії Адріатичного моря  ,9,7,2,0,8,"0,88","0,00","0,25","0,00","3,10","0,39",0,0
ADR-121,Італія - морська спокуса: 5 ночей на морі в Ріміні  ,10,8,2,0,8,"1,00","0,00","0,25","0,00","3,40","0,43",0,0
ADR-122,"Під одним небом, Рим та Париж! ",17,10,6,0,8,"1,25","0,00","0,75","0,00","6,00","0,75",1,0
ADR-123,Тур від кутюр: Париж та Мілан!  ,15,10,6,0,8,"1,25","0,00","0,75","0,00","6,00","0,75",1,0
ADR-124,На хвилинку в Амстердам + парк Кекенхоф  ,8,5,3,0,5,"1,00","0,00","0,60","0,00","3,00","0,60",1,0
ADR-125,Яскраві барви Адріатики: 6 ночей на морі в Ріміні  ,6,4,1,0,9,"0,44","0,00","0,11","0,00","1,70","0,19",0,0
ADR-126,"Дивовижні канікули в Нідерландах + 4 парки: ""Fantasialand"", ""Efteling"", ""Keukenhof"" та ""Madurodam""  ",11,8,5,0,7,"1,14","0,00","0,71","0,00","4,90","0,70",1,0
ADR-127,Красуня Албанія  ,5,1,1,0,12,"0,08","0,00","0,08","0,00","0,80","0,07",0,1
ADR-128,Дорогами казкової Німеччини: Мюнхен + замок Нойшванштайн  ,7,6,5,0,5,"1,20","0,00","1,00","0,00","4,30","0,86",0,0
ADR-129,Європейський випускний: Краків - Прага - Відень - Будапешт,6,5,4,0,4,"1,25","0,00","1,00","0,00","3,50","0,88",0,0
ADR-130,Дитячі пригоди в Італії + парки розваг Гардаленд та Леоландія  ,4,4,2,0,5,"0,80","0,00","0,40","0,00","2,20","0,44",0,0
ADR-131,Наша Хорватська відпустка  ,7,3,2,0,10,"0,30","0,00","0,20","0,00","1,90","0,19",0,0
ADR-132,Італія серце Адріатики: 5 ночей на морі в Лідо ді Єзоло  ,8,5,2,0,9,"0,56","0,00","0,22","0,00","2,50","0,28",0,0
ADR-133,"Марципанові канікули в Угорщині: Будапешт, Сентендре + аквапарк Aquasziget, зоопарк Шошто  ",4,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
ADR-134,Барселона - серце Каталонії  ,12,7,5,0,8,"0,88","0,00","0,63","0,00","4,60","0,58",0,0
ADR-135,Літня відпустка в Албанії  ,8,1,1,0,12,"0,08","0,00","0,08","0,00","0,80","0,07",0,0
ADR-136,"Рандеву в Парижі + Ельзас = 5 днів у Франції (Нормандія, Замки Луари, Мон-Сен-Мішель + 2 парки розваг) ",17,9,4,0,8,"1,13","0,00","0,50","0,00","4,70","0,59",1,0
DAV-1,Празький вікенд з Києва,5,3,3,0,5,"0,60","0,00","0,60","0,00","2,40","0,48",0,0
DAV-2,Європейський вікенд,5,2,2,0,6,"0,33","0,00","0,33","0,00","1,60","0,27",0,0
DAV-3,Грецькі Канікули (Олімпійська Рив'єра) 2025,7,2,2,2,9,"0,22","0,22","0,22","0,29","2,00","0,22",0,0
DAV-4,Bella Італія - відпочинок на морі,9,4,2,0,9,"0,44","0,00","0,22","0,00","2,20","0,24",0,0
DAV-5,Грецькі Канікули (Олімпійська Рив'єра) 2025,7,2,2,2,10,"0,20","0,20","0,20","0,29","2,00","0,20",0,0
DAV-6,Молодіжний центр Orfeas Olympic Camp у Греції 2025,11,3,2,0,12,"0,25","0,00","0,17","0,00","1,90","0,16",0,0
DAV-7,Чарівна Італія з Одеси,10,5,4,0,8,"0,63","0,00","0,50","0,00","3,50","0,44",0,0
DAV-8,Альпійський вікенд,7,5,4,0,6,"0,83","0,00","0,67","0,00","3,50","0,58",0,0
DAV-9,Казкова Угорщина + Відень,3,2,2,0,4,"0,50","0,00","0,50","0,00","1,60","0,40",0,0
DAV-10,"Мріючи про нього: Амстердам, Брюссель, Париж, Люксембург, Прага і Берлін!",10,6,7,0,8,"0,75","0,00","0,88","0,00","5,30","0,66",0,0
DAV-11,Казкова Угорщина + Відень,0,0,0,0,4,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-1,Неповторна Баварія + Прага та Відень,5,4,4,0,5,"0,80","0,00","0,80","0,00","3,20","0,64",0,0
ITR-2,"VIVA Італія! Венеція, Мілан, озера Гарда та Комо",5,4,2,0,5,"0,80","0,00","0,40","0,00","2,20","0,44",0,0
ITR-3,Баварська мрія,6,4,3,0,6,"0,67","0,00","0,50","0,00","2,70","0,45",0,0
ITR-4,Париж та голуби: 3 дні в Парижі (без нічних переїздів),11,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",1,0
ITR-5,"Три бажання: Краків, Прага та Відень",3,3,3,0,4,"0,75","0,00","0,75","0,00","2,40","0,60",0,0
ITR-6,Амстердамський експрес,5,5,4,0,6,"0,83","0,00","0,67","0,00","3,50","0,58",0,0
ITR-7,Круасани і тюльпани: Амстердам + Париж,7,6,6,0,8,"0,75","0,00","0,75","0,00","4,80","0,60",0,0
ITR-8,Голландський калейдоскоп,11,9,4,0,7,"1,29","0,00","0,57","0,00","4,70","0,67",1,0
ITR-9,"Столичні пригоди: Будапешт, Відень, Прага + Краків!",4,4,4,0,4,"1,00","0,00","1,00","0,00","3,20","0,80",0,0
ITR-10,Словацька мелодія з Віденським шармом!,5,2,2,0,5,"0,40","0,00","0,40","0,00","1,60","0,32",0,0
ITR-11,Кураж столицями,6,4,4,0,4,"1,00","0,00","1,00","0,00","3,20","0,80",0,0
ITR-12,Угорський танок: Будапешт і Відень,6,4,2,0,4,"1,00","0,00","0,50","0,00","2,20","0,55",0,0
ITR-13,"Європейська розкіш – Ніцца, Монако, Портофіно…",7,5,4,0,6,"0,83","0,00","0,67","0,00","3,50","0,58",0,0
ITR-14,Лазурний МЕГАтур,9,7,5,0,8,"0,88","0,00","0,63","0,00","4,60","0,58",0,0
ITR-15,Лазурний шик: 2 дні на Рив'єрі,9,7,4,0,7,"1,00","0,00","0,57","0,00","4,10","0,59",0,0
ITR-16,Джульєтта і гондоли,3,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ITR-17,"Спокусливе тріо: Венеція, Ніцца, Барселона",9,7,6,0,9,"0,78","0,00","0,67","0,00","5,10","0,57",0,0
ITR-18,"Тисячі лайків: Венеція, Рим, Флоренцію, Піза",6,3,3,0,5,"0,60","0,00","0,60","0,00","2,40","0,48",0,0
ITR-19,Італійська симфонія: Венеція + Доломітові Альпи,7,4,4,0,6,"0,67","0,00","0,67","0,00","3,20","0,53",0,0
ITR-20,Доломітові Альпи - мандрівка серед величі вершин,6,4,3,0,7,"0,57","0,00","0,43","0,00","2,70","0,39",0,0
ITR-21,Альпійський експрес: Швейцарія + Австрія,9,8,4,0,6,"1,33","0,00","0,67","0,00","4,40","0,73",0,0
ITR-22,"Тур-де-Круасан: Париж (4 дні), Нормандія, замки Луари",11,7,4,0,8,"0,88","0,00","0,50","0,00","4,10","0,51",0,0
ITR-23,"Їж.Люби.Подорожуй: Венеція, Рим 2 ночі, Флоренцію, Піза",8,5,4,0,7,"0,71","0,00","0,57","0,00","3,50","0,50",0,0
ITR-24,Альпійська красуня – Швейцарія,10,5,3,0,6,"0,83","0,00","0,50","0,00","3,00","0,50",1,0
ITR-25,"Романтичний мікс: Кельн, Люксембург, Страсбург",10,7,5,0,7,"1,00","0,00","0,71","0,00","4,60","0,66",0,0
ITR-26,"VIVA Італія! Венеція, Мілан, озера Гарда та Комо",5,3,1,2,5,"0,60","0,40","0,20","0,40","1,80","0,36",0,0
ITR-27,Benelux - таємниці трьох країн,9,7,5,0,6,"1,17","0,00","0,83","0,00","4,60","0,77",0,0
ITR-28,Європейська відпустка у Europa Park,7,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",0,0
ITR-29,Берлінський експресс,5,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ITR-30,Лазурний шик: 2 дні на Рив’єрі,12,7,4,1,7,"1,00","0,14","0,57","0,08","4,30","0,61",1,0
ITR-31,"Кава та круасан: Відень, Париж, Зальцбург",8,7,3,0,6,"1,17","0,00","0,50","0,00","3,60","0,60",0,0
ITR-32,"Європейські канікули – Прага, Париж, Берлін",7,6,4,0,6,"1,00","0,00","0,67","0,00","3,80","0,63",0,0
ITR-33,Італійська симфонія: Венеція + Доломітові Альпи,6,4,4,0,6,"0,67","0,00","0,67","0,00","3,20","0,53",0,0
ITR-34,Канікули у Данії: Legoland,7,6,3,0,6,"1,00","0,00","0,50","0,00","3,30","0,55",0,0
ITR-35,Паризька мрія – 3 дні в Парижі!,5,5,4,0,7,"0,71","0,00","0,57","0,00","3,50","0,50",0,0
ITR-36,"Смак Франції: Париж, Нормандія, Ельзас",9,7,4,0,7,"1,00","0,00","0,57","0,00","4,10","0,59",0,0
ITR-37,МЕГАтур до Чорногорії,11,4,3,0,10,"0,40","0,00","0,30","0,00","2,70","0,27",0,0
ITR-38,Джульєтта і гондоли,4,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ITR-39,"Тисячі лайків: Венеція, Рим, Піза Флоренція",6,5,2,0,5,"1,00","0,00","0,40","0,00","2,50","0,50",0,0
ITR-40,На вікенд до двох сестер: Латвія-Литва,3,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ITR-41,Балтійські пригоди,4,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ITR-42,"Балтійські Скарби + круїз до Стокгольму : Таллін, Стокгольм, Рига",4,3,2,0,6,"0,50","0,00","0,33","0,00","1,90","0,32",0,0
ITR-43,"Європейська розкіш – Ніцца, Монако, Портофіно…",0,0,0,0,6,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-44,Чудовий мікс - Чорногорія+Албанія з відпочинком на морі,0,0,0,0,10,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-45,Румунський експрес,0,0,0,0,4,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-46,"Їж.Люби.Подорожуй: Любляна, Венеція, Рим 2 дні, Флоренція",0,0,0,0,7,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-47,Релакс у Чехії та Угорщині,0,0,0,0,6,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-48,Зеленими берегами Корфу,6,3,3,0,9,"0,33","0,00","0,33","0,00","2,40","0,27",0,0
ITR-49,Містична Трансільванія та Трансфагараш,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-50,Казки старої Німеччини,0,0,0,0,7,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
ITR-51,Лавандове серце Франції – Валансоль + Лазурове узбережжя,14,5,4,2,7,"0,71","0,29","0,57","0,14","3,90","0,56",1,0
ITR-52,Доломітові Альпи – мандрівка серед величі вершин,6,4,3,0,7,"0,57","0,00","0,43","0,00","2,70","0,39",0,0
ITR-53,На зустріч до Афродіти,5,3,3,0,10,"0,30","0,00","0,30","0,00","2,40","0,24",0,0
ITR-54,Халкідіки. Ідеальна грецька відпустка,5,4,4,0,10,"0,40","0,00","0,40","0,00","3,20","0,32",0,0
RIC-1,Дивовижна Хорватія,5,2,2,0,10,"0,20","0,00","0,20","0,00","1,60","0,16",0,0
RIC-2,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,3,2,2,0,10,"0,20","0,00","0,20","0,00","1,60","0,16",0,1
RIC-3,Сонячні пляжі Ріміні - Італія,4,3,2,0,8,"0,38","0,00","0,25","0,00","1,90","0,24",0,0
RIC-4,МОРЕ ГРЕЦІЇ,5,0,0,0,10,"0,00","0,00","0,00","0,00","0,00","0,00",0,0
RIC-5,Подих Адріатики – Чорногорія,1,1,1,0,10,"0,10","0,00","0,10","0,00","0,80","0,08",0,1
RIC-6,Під небом ПАРИЖУ + Прага і Дрезден,3,3,3,0,6,"0,50","0,00","0,50","0,00","2,40","0,40",0,0
RIC-7,В гостях у Нідерландської корони,5,4,4,0,7,"0,57","0,00","0,57","0,00","3,20","0,46",0,0
RIC-8,Мрія блогерів: Венеція + Альпи,5,1,1,0,5,"0,20","0,00","0,20","0,00","0,80","0,16",0,0
RIC-9,Від Провансу до Швейцарських вершин,9,4,4,0,7,"0,57","0,00","0,57","0,00","3,20","0,46",0,0
RIC-10,Скандинавська сага,9,5,5,0,9,"0,56","0,00","0,56","0,00","4,00","0,44",0,0
TAN-1,Відень та Прага - імперії королів,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-2,"Театр вражень - Венеція, Верона та Мілан!",1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-3,Будапешт - мій найкращий вікенд! ,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-4,Ключ в Європу : Будапешт + Відень,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-5,Прага та Дрезден #нашілюдивсюди,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-6,"Quattro Formaggi. Венеція, Флоренція і Рим",1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-7,Відень неперевершений!,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-8,Мої голландські тюльпанчики,1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-9,"L'amour en trois: ти, я і Париж!",1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-10,Румунія - любов з першого погляду. Бухарест і замки,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-11,"Стихія моря: Таллінн, Стокгольм, Рига",1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-12,Магія Балтійського моря. Круїз Таллінн-Стокгольм,1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-13,Нідерланди. I♥Аmsterdam,1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-14,"50 відтінків літа! Італія, Адріатичне море",1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-15,Подорож у серце Трансільванії,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-16,"Північний круїз: Таллінн, Гельсінкі, Стокгольм",1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-17,Містичний вікенд в Трансильванії,1,0,0,0,3,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-18,Мелодії Парижа,1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-19,"Ідеальна четвірка: Краків, Прага, Відень, Будапешт",1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-20,"Загадка Австрії: Відень, Зальцбург, Гальштат",1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-21,Австрійські панорами: Відень та Гальштат,1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-22,"Край Тоскани - Флоренція, Піза, Рим",1,0,0,0,6,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-23,Вікенд для душі: Угорщина + Словаччина,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-24,У пошуках дива - Македонія!,1,0,0,0,4,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-25,"Тільки Італія: Венеція, Мілан, Рим, Неаполь та Флоренція",1,0,0,0,7,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-26,"Альпійський експрес: Венеція, Цюрих, Зальцбург",1,0,0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-27,Париж на десерт,1,0,0,0,8,"0,00","0,00","0,00","0,00","0,00","0,00",0,1
TAN-28,"Каталонський експрес: Монако, Ніцца, Барселона",7,5,5,0,7,"0,71","0,00","0,71","0,00","4,00","0,57",0,0
TAN-29,Вихідні у Кракові + Енерджіландія,2,1,1,0,4,"0,25","0,00","0,25","0,00","0,80","0,20",0,0
TAN-30,Незвіданий край - Боснія і Герцеґовина,5,1,1,0,5,"0,20","0,00","0,20","0,00","0,80","0,16",0,0
TAN-31,"В цьому році в моді лазурний:  Ніцца, Монако, Портофіно",9,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",0,0
TAN-32,Албанія - морська пригода,8,2,1,0,8,"0,25","0,00","0,13","0,00","1,10","0,14",0,0
TAN-33,Словенія - альпійські термали,2,2,1,0,4,"0,50","0,00","0,25","0,00","1,10","0,28",0,0
TAN-34,"Литовські вихідні: Вільнюс, Тракай, Друскінінкай",2,1,1,0,4,"0,25","0,00","0,25","0,00","0,80","0,20",0,0
TAN-35,Зірки півночі: Рига та Норвезькі фіорди!,7,4,2,0,7,"0,57","0,00","0,29","0,00","2,20","0,31",0,0
TAN-36,Греція. Між небом та землею,3,1,1,1,10,"0,10","0,10","0,10","0,33","1,00","0,10",0,1
TAN-37,Карнавальна мандрівка,3,3,2,0,5,"0,60","0,00","0,40","0,00","1,90","0,38",0,0
TAN-38,"Нові горизонти: Таллінн, Стокгольм, Копенгаген, Амстердам",9,5,4,1,8,"0,63","0,13","0,50","0,11","3,70","0,46",0,0
TAN-39,Зимові розваги - Закопане!,2,2,1,0,5,"0,40","0,00","0,20","0,00","1,10","0,22",0,1
TAN-40,Скандинавія. Вся правда про Вікінгів,8,7,6,0,9,"0,78","0,00","0,67","0,00","5,10","0,57",0,0
TAN-41,Мої швейцарські вихідні,5,4,3,0,5,"0,80","0,00","0,60","0,00","2,70","0,54",0,0
TAN-42,Випускний в Греції,4,1,1,0,7,"0,14","0,00","0,14","0,00","0,80","0,11",0,0
TAN-43,Халкідіки. Вихідні на морі,4,1,1,0,5,"0,20","0,00","0,20","0,00","0,80","0,16",0,0
TRM-1,"Французький вояж (Париж, Мон-Сен-Мішель + 3 дні з океаном)",0,0,0,0,8,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-2,Формула краси по-італійськи,0,0,0,0,6,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-3,Париж - місто мрії!,0,0,0,0,7,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-4,Весна на острові Майнау,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-5,Формула краси + три узбережжя Італії,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-6,Вічне літо Сицилії,0,0,0,0,10,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-7,Альпійська мелодія!+ Лазурове узбережжя Франції,0,0,0,0,8,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-8,"Зимова казка: Закопане, Відень, терми",0,0,0,0,4,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-9,"Легкість Амстердама, романтика Парижа + парк тюльпанів Койкенхоф",0,0,0,0,7,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-10,Белла Італія,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-11,Італія - моє натхнення + Венеційський Карнавал,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-12,Тур на VI етап Кубка світу 2024/25 з біатлону в Італії (Антгольц-Антерсельва),0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
TRM-13,Белла Італія + два Карнавали,0,0,0,0,5,"0,00","0,00","0,00",#DIV/0!,"0,00","0,00",0,1
