ID ТУРУ,НАЗВА ТУРУ,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ДНІ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
ACC-156,Солодкі дотики моря... Греція! Відпочинок на Егейському морі!,13,2,1,2,10,"0,20","0,20","0,10","0,15","1,50","0,15",0,0
ACC-157,Сонячна розкіш Чорногорія + Хорватія Відпочинок на морі в Чорногорії,14,4,3,2,11,"0,36","0,18","0,27","0,14","3,10","0,28",0,0
ACC-158,Приємний вікенд  Прага + Дрезден,9,8,3,0,4,"2,00","0,00","0,75","0,00","3,90","0,98",1,0
ACC-159,Празьке дежавю  Прага та Відень,4,4,4,0,4,"1,00","0,00","1,00","0,00","3,20","0,80",0,0
ACC-160,Неймовірні пригоди у Санта-Клауса,5,4,4,0,8,"0,50","0,00","0,50","0,00","3,20","0,40",0,0
ACC-161,Полювання на вампірів,10,3,1,0,4,"0,75","0,00","0,25","0,00","1,40","0,35",1,0
ACC-162,Подорож в Трансільванію…,12,3,1,0,5,"0,60","0,00","0,20","0,00","1,40","0,28",1,0
ACC-163,Ароматний вікенд…,3,0,0,0,3,"0,00","0,00","0,00","0,00","0,00","0,00",0,0
ACC-164,Перше кохання... Прага,8,6,3,0,7,"0,86","0,00","0,43","0,00","3,30","0,47",0,0
ACC-165,Пікнічок в Амстердамі,12,10,4,0,6,"1,67","0,00","0,67","0,00","5,00","0,83",1,0
ACC-166,Побачення в Парижі! + Мюнхен!,7,4,4,2,7,"0,57","0,29","0,57","0,29","3,60","0,51",0,0
ACC-167,Вікенд в Бухаресті...,1,1,1,0,3,"0,33","0,00","0,33","0,00","0,80","0,27",0,1
ACC-168,Максимум насолоди або моя бажана відпустка!!!,4,1,1,0,13,"0,08","0,00","0,08","0,00","0,80","0,06",0,1
ACC-169,Мій літній романс або який солодкий шум прибою... Албанія,5,2,2,0,11,"0,18","0,00","0,18","0,00","1,60","0,15",0,1
ACC-170,"Канікули в Парижі +Страсбург  Діснейленд, Астерікс, Європа Парк",9,8,4,0,7,"1,14","0,00","0,57","0,00","4,40","0,63",0,0
ACC-171,Вікенд в Будапешт! + Хевіз!,5,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ACC-172,"Схід, солодка любов моя... Туреччина + Греція",8,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",0,0
ACC-173,Музика прибою: Відпочинок на Егейському морі Греції!,9,2,1,2,8,"0,25","0,25","0,13","0,22","1,50","0,19",0,0
ACC-174,Сієста у греків:  відпочинок на Егейському морі і Охридському озері,13,3,2,1,11,"0,27","0,09","0,18","0,08","2,10","0,19",0,0
ACC-175,"Всі фарби Балкан  Албанія, Північна Македонія, Болгарія",7,4,3,0,10,"0,40","0,00","0,30","0,00","2,70","0,27",0,0
ACC-176,Неймовірне знайомство... Македонія + Албанія,3,1,1,0,11,"0,09","0,00","0,09","0,00","0,80","0,07",0,1
ACC-177,Мій літній коктейль…  Тур з відпочинком на морі в Албанії…,4,2,2,0,13,"0,15","0,00","0,15","0,00","1,60","0,12",0,1
ACC-178,Аромат зі східними нотами...,14,5,4,1,8,"0,63","0,13","0,50","0,07","3,70","0,46",1,0
ACC-179,Лапландія і Томтеленд - У світі Санта Клауса!,7,2,2,0,10,"0,20","0,00","0,20","0,00","1,60","0,16",0,0
ACC-180,Полуниця з Портвейном... Португалія,27,10,8,0,14,"0,71","0,00","0,57","0,00","7,00","0,50",1,0
ACC-181,Амстердам - ковток свободи,14,10,4,0,6,"1,67","0,00","0,67","0,00","5,00","0,83",1,0
ACC-182,"Веселий ярмарок...  Різдвяна Німеччина та Франція.  Дрезден, Нюрнберг, Страсбург, Кольмар, Прага",7,7,4,0,5,"1,40","0,00","0,80","0,00","4,10","0,82",0,0
ACC-183,Без меж - Будапешт!  Виїзд  з Києва,9,5,3,0,5,"1,00","0,00","0,60","0,00","3,00","0,60",1,0
ADR-1,Чеські перлини: 4 ночі в Празі + Дрезден  ,6,6,3,0,5,"1,20","0,00","0,60","0,00","3,30","0,66",0,0
ADR-2,"Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція  ",9,5,2,0,6,"0,83","0,00","0,33","0,00","2,50","0,42",0,0
ADR-3,Європейська мозаїка: Краків-Прага-Відень-Будапешт ,6,5,4,0,4,"1,25","0,00","1,00","0,00","3,50","0,88",0,0
ADR-4,Неймовірна Швейцарія та Ельзас!  ,10,9,6,0,5,"1,80","0,00","1,20","0,00","5,70","1,14",1,0
ADR-5,"Італійський вікенд... Венеція, Флоренція, Рим  ",6,5,3,0,5,"1,00","0,00","0,60","0,00","3,00","0,60",0,0
ADR-6,Париж - місто кохання ,6,6,4,0,6,"1,00","0,00","0,67","0,00","3,80","0,63",0,0
ADR-7,«Австрійський хіт + Будапешт» ,4,4,2,0,4,"1,00","0,00","0,50","0,00","2,20","0,55",0,0
ADR-8,"Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов  ",7,7,3,0,4,"1,75","0,00","0,75","0,00","3,60","0,90",1,0
ADR-9,Мікс вікенд: Будапешт + Відень  ,3,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ADR-10,Так добре разом: Париж+ Бенілюкс  ,16,8,7,0,8,"1,00","0,00","0,88","0,00","5,90","0,74",1,0
ADR-11,Містична Трансільванія  ,2,1,1,0,3,"0,33","0,00","0,33","0,00","0,80","0,27",0,0
ADR-12,"Смарагди Польщі: Морське Око, Закопане, Краків ",2,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
ADR-13,Вікенд в Трансільванії  ,2,1,1,0,4,"0,25","0,00","0,25","0,00","0,80","0,20",0,0
ADR-14,"Прага - місто, яке обрало мене ",3,3,3,0,4,"0,75","0,00","0,75","0,00","2,40","0,60",0,0
ADR-15,"Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь  ",9,8,4,0,8,"1,00","0,00","0,50","0,00","4,40","0,55",0,0
ADR-16,Який чудовий Краків + парк Енерджіландія  ,3,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
ADR-17,Прага - моє улюблене місто ,3,3,3,0,4,"0,75","0,00","0,75","0,00","2,40","0,60",0,0
ADR-18,"О Рим, ти цілий світ! ",8,7,5,0,6,"1,17","0,00","0,83","0,00","4,60","0,77",0,0
ADR-19,Зустрічаємось в Парижі + Мюнхен та Зальцбург ,6,5,5,0,6,"0,83","0,00","0,83","0,00","4,00","0,67",0,0
